date,cost
2013-07-13,$4.99 USD
2013-06-28,$14.99 USD
2013-06-26,$4.95 USD
2013-06-23,$2.49 USD
2013-06-23,$2.49 USD
2013-06-23,$5.00 USD
2013-06-14,$2.49 USD
2013-06-14,$2.49 USD
2013-06-14,$5.00 USD
2013-06-04,$1.74 USD
2013-06-04,$3.74 USD
2013-05-28,$13.49 USD
2013-05-26,$7.99 USD
2013-05-23,$17.99 USD
2013-05-03,$49.99 USD
2013-05-01,$6.99 USD
2013-04-26,$12.87 USD
2013-04-26,$1.24 USD
2013-04-25,$19.99 USD
2013-04-23,$5.99 USD
2013-04-21,$7.49 USD
2013-04-20,$6.99 USD
2013-04-19,$11.99 USD
2013-04-18,$23.48 USD
2013-04-16,$10.98 USD
2013-03-31,$19.99 USD
2013-03-31,$12.95 USD
2013-03-23,$2.49 USD
2013-03-21,$15.97 USD
2013-03-12,$10.19 USD
2013-03-10,$25.49 USD
2013-02-14,$25.44 USD
2013-01-28,$11.98 USD
2013-01-24,$14.99 USD
2013-01-24,$19.99 USD
2013-01-07,$9.99 USD
2013-01-06,$19.99 USD
2013-01-03,$8.94 USD
2013-01-03,$5.99 USD
2013-01-03,$14.98 USD
2013-01-02,$4.98 USD
2013-01-02,$11.24 USD
2012-12-30,$9.98 USD
2012-12-27,$12.49 USD
2012-12-25,$11.89 USD
2012-12-23,$39.99 USD
2012-12-21,$2.49 USD
2012-12-09,$14.99 USD
2012-12-06,$13.38 USD
2012-11-24,$4.99 USD
2012-11-23,$8.74 USD
2012-11-19,$11.99 USD
2012-11-05,$39.99 USD
2012-10-25,$5.98 USD
2012-10-24,$14.99 USD
2012-10-10,$49.99 USD
2012-09-27,$59.99 USD
2012-09-08,$8.74 USD
2012-09-02,$7.49 USD
2012-09-01,$2.79 USD
2012-08-28,$59.99 USD
2012-08-22,$19.99 USD
2012-06-12,$9.99 USD
2012-06-09,$7.98 USD
2012-04-22,$2.87 USD
2012-04-19,$14.99 USD
2012-03-31,$59.99 USD
2012-03-23,$9.99 USD
2012-03-14,$2.69 USD
2012-03-04,$9.99 USD
2012-03-03,$2.49 USD
2012-03-01,$4.99 USD
2012-02-29,$8.99 USD
2012-02-24,$10.19 USD
2012-02-22,$4.99 USD
2012-02-20,$2.49 USD
2012-02-07,$59.99 USD
2011-10-07,$16.99 USD
2011-08-15,$19.99 USD
2011-08-15,$14.99 USD
2011-08-12,$29.99 USD
2010-07-04,$49.99 USD
2010-07-01,$5.00 USD
2010-05-29,$49.99 USD
